"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	LKNI	intermittent salt lake		tilbakevendende saltsjÌü	tilbakevendande saltsjÌü	pallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvipallaava suolajÌ_rvi	vÌ_liaikainen suojajÌ_rvi	intermittent salt lake";
"H	LKO	oxbow lake	a crescent-shaped lake commonly found adjacent to meandering streams	kroksjÌü	kroksjÌü	makkaralompolo	makkarajÌ_rvi	oxbow lake";
"H	LKOI	intermittent oxbow lake		tilbakevendende kroksjÌü	tilbakevendande kroksjÌü	pallaava makkaralompolo	vÌ_liaikainen makkarajÌ_rvi	intermittent oxbow lake";
"H	LKS	lakes	large inland bodies of standing water	innsjÌüer	innsjÌüar	jÌ_rvet	jÌ_rvet	lakes";
"H	LKSB	underground lake	a standing body of water in a cave	underjordisk innsjÌü	underjordisk innsjÌü	maanalanen jÌ_rvi	maanalainen jÌ_rvi	underground lake";
"H	LKSC	crater lakes	lakes in a crater or caldera	kratersjÌüer	kratersjÌüar	kraaterijÌ_rvet	kraaterijÌ_rvet	crater lakes";
"H	LKSI	intermittent lakes		tilbakevendende innsjÌüer	tilbakevendande innsjÌüar	pallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvetpallaavat jÌ_rvet	vÌ_liaikaiset jÌ_rvet	intermittent lakes";
"H	LKSN	salt lakes	inland bodies of salt water with no outlet	saltsjÌüer	saltsjÌüar	suolajÌ_rvet	suolajÌ_rvet	salt lakes";
"H	LKSNI	intermittent salt lakes		tilbakevendende saltsjÌüer	tilbakevendande saltsjÌüar	pallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvetpallaavat suolajÌ_rvet	vÌ_liaikaiset suolajÌ_rvet	intermittent salt lakes";
"H	LKX	section of lake		del av innsjÌü	del av innsjÌü	jÌ_rven osa	jÌ_rven osa	section of lake";
