"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"paha","adj","ond","a1","pahha-",,"ondskapsfull",,,,,,,,
"katheelinen","adj","avensjuk",,"katheelise-","katheelis-","misunnelig",,,,,,,,
"soma","adj","artig",,"somma-",,"morsom","a1",,,,,,,
"ilonen","adj","glad",,"ilose-","ilos-","lykkelig",,,,,,,,
"viekas","adj","rar","a1","viekhaa-","-","merkelig",,,,,,,,
"viekas","adj","rar","a1","viekhaa-","-","merkelig",,,,,,,,
"lievä","adj","bøyelig",,"-","-","mild –t",,"svak","a1",,,,,
"tummaverinen","adj","mørkhudet",,"tummaverise-","tummaveris-","mørk i huden",,,,,,,,
"paljas","adj","bar","a1","paljhaa-","-","naken","a1",,,,,,,
"pohjanen","adj","nord",,"pohjase-","pohjas-","nordlig",,,,,,,,
"vahva","adj","tyk|k","a1","-","-","bred","a1",,,,,,,
"pehmee","adj","bløt","a1","-","-","myk","a1",,,,,,,
"pehmee","adj","bløt","a1","-","-","myk","a1",,,,,,,
"kranttu","adj","følsom","a1","krantu-","-","var –t","a1","nøye",,,,,,
"karu","adj","karrig",,"-","-",,,,,,,,,
"sievä","adj","pen",,"-","-","vakker",,"skjønn",,,,,,
"ylheinen","adj","allmen|n","a1","ylheisese-","ylheis-","vanlig",,,,,,,,
"ylheinen","adj","allmen|n","a1","ylheisese-","ylheis-","vanlig",,,,,,,,
"hirmunen","adj","enorm",,"hirmuse-","hirmus-","veldig",,,,,,,,
"hirmunen","adj","enorm",,"hirmuse-","hirmus-","veldig",,,,,,,,
"suuri","adj","stor","a1","suure-","suur-",,,,,,,,,
"kuuma","adj","het",,"-","-","varm",,,,,,,,
"kuuma","adj","het",,"-","-","varm",,,,,,,,
"opas","adj","kjent",,"ophaa-","-",,,,,,,,,
"kamala","adj","rar",,"-","-","underlig",,,,,,,,
"kamala","adj","rar",,"-","-","underlig",,,,,,,,
"lokanen","adj","skitten",,"lokase-","lokas-","urein",,,,,,,,
"suora","adj","rett",,"-","-","strak","a1","direkte",,,,,,
"raaka","adj","rå –tt",,"raaja-","raakka-","umoden","a1",,,,,,,
"raaka","adj","rå –tt",,"raaja-","raakka-","umoden","a1",,,,,,,
"laaja","adj","vid","a1","-","-","utstrakt",,,,,,,,
"vapaehtonen","adj","frivillig",,"vapaehtose-","vapaehtos-",,,,,,,,,
"kommee","adj","staselig",,"-","-","vakker",,"utilnærmelig",,,,,,
"sekanen","adj","rotete",,"sekase-","sekas-","uryddig",,,,,,,,
